5.70771,0.864368,-0.0219012
5.90864,0.861053,-0.0112236
6.16606,0.859621,0.000206666
6.41658,0.860718,0.00828541
6.62649,0.8632,0.0148278
6.88211,0.880657,0.017957
7.092,0.88111,0.0236163
7.31563,0.855391,0.0260623
7.58012,0.859256,0.0261002
7.81039,0.850096,0.0361707
8.02869,0.847828,0.0389524
8.29917,0.835649,0.0337881
8.52368,0.844049,0.0377208
8.72524,0.850312,0.0114541
8.98768,0.841262,-0.0748041
9.18889,0.82057,-0.156162
9.42851,0.734297,-0.273651
9.62285,0.679439,-0.359492
9.86074,0.577656,-0.471807
10.0558,0.469547,-0.565549
10.2627,0.325466,-0.666108
10.4228,0.112713,-0.780571
10.6014,-0.0649691,-0.901213
10.7201,-0.228237,-0.996396
10.8382,-0.394148,-1.07565
10.9643,-0.64939,-1.159
11.0432,-0.845923,-1.21538
11.124,-1.08221,-1.23485
11.1986,-1.29548,-1.23
11.2627,-1.43714,-1.23586
